يُمْكِنُ 	 مكن
قَبَّ 	 قبب
قَذَّ 	 قذذ
فَلَّ 	 فلل
خَطَّ 	 خطط
فَظَّ 	 فظظ
قَثَّ 	 قثث
عَبَّ 	 عبب
فَشَّ 	 فشش
غَرَّ 	 غرر
حَرَّ 	 حرر
عَمَّ 	 عمم
غَضَّ 	 غضض
قَطَّ 	 قطط
غَصَّ 	 غصص
عَدَّ 	 عدد
هَبَّ 	 هبب
حَرَّ 	 حرر
نَسَّ 	 نسس
حَسَّ 	 حسس
عَشَّ 	 عشش
سَجَّ 	 سجج
تَلَّ 	 تلل
عَمَّ 	 عمم
هَشَّ 	 هشش
فَتَّ 	 فتت
سَمَّ 	 سمم
دَكَّ 	 دكك
بَضَّ 	 بضض
قَحَّ 	 قحح
صَمَّ 	 صمم
حَلَّ 	 حلل
جَلَّ 	 جلل
ضَرَّ 	 ضرر
رَضَّ 	 رضض
جَذَّ 	 جذذ
صَخَّ 	 صخخ
خَبَّ 	 خبب
خَنَّ 	 خنن
صَفَّ 	 صفف
سَبَّ 	 سبب
مَتَّ 	 متت
غَشَّ 	 غشش
ثَجَّ 	 ثجج
قَضَّ 	 قضض
زَخَّ 	 زخخ
ذَبَّ 	 ذبب
ضَدَّ 	 ضدد
خَصَّ 	 خصص
رَسَّ 	 رسس
شَصَّ 	 شصص
ظَرَّ 	 ظرر
خَلَّ 	 خلل
دَشَّ 	 دشش
جَسَّ 	 جسس
غَدَّ 	 غدد
قَزَّ 	 قزز
دَمَّ 	 دمم
بَثَّ 	 بثث
وَصَّ 	 وصص
كَظَّ 	 كظظ
هَزَّ 	 هزز
جَبَّ 	 جبب
حَمَّ 	 حمم
هَلَّ 	 هلل
خَسَّ 	 خسس
مَطَّ 	 مطط
كَحَّ 	 كحح
مَنَّ 	 منن
زَفَّ 	 زفف
فَنَّ 	 فنن
مَدَّ 	 مدد
مَكَّ 	 مكك
مَرَّ 	 مرر
لَزَّ 	 لزز
مَضَّ 	 مضض
لَفَّ 	 لفف
رَعَّ 	 رعع
تَفَّ 	 تفف
هَشَّ 	 هشش
غَلَّ 	 غلل
مَثَّ 	 مثث
مَزَّ 	 مزز
حَثَّ 	 حثث
قَسَّ 	 قسس
صَكَّ 	 صكك
غَمَّ 	 غمم
ذَحَّ 	 ذحح
مَرَّ 	 مرر
هَتَّ 	 هتت
حَمَّ 	 حمم
هَزَّ 	 هزز
مَشَّ 	 مشش
رَسَّ 	 رسس
نَشَّ 	 نشش
شَدَّ 	 شدد
لَصَّ 	 لصص
سَكَّ 	 سكك
غَلَّ 	 غلل
مَزَّ 	 مزز
قَضَّ 	 قضض
حَفَّ 	 حفف
نَثَّ 	 نثث
هَالَّ 	 هلل
حَاكَّ 	 حكك
مَادَّ 	 مدد
سَارَّ 	 سرر
شَاجَّ 	 شجج
رَادَّ 	 ردد
حَاجَّ 	 حجج
شَاقَّ 	 شقق
صَافَّ 	 صفف
لَافَّ 	 لفف
شَادَّ 	 شدد
ذَافَّ 	 ذفف
قَارَّ 	 قرر
لَادَّ 	 لدد
ضَارَّ 	 ضرر
عَاضَّ 	 عضض
صَاتَّ 	 صتت
جَارَّ 	 جرر
قَاصَّ 	 قصص
حَاثَّ 	 حثث
شَامَّ 	 شمم
غَارَّ 	 غرر
حَابَّ 	 حبب
مَارَّ 	 مرر
شَارَّ 	 شرر
حَاقَّ 	 حقق
ضَامَّ 	 ضمم
لَاظَّ 	 لظظ
وَادَّ 	 ودد
مَاسَّ 	 مسس
ضَادَّ 	 ضدد
شَاحَّ 	 شحح
عَاقَّ 	 عقق
صَارَّ 	 صرر
عَادَّ 	 عدد
لَاجَّ 	 لج ج
أَلَثَّ 	 لثث
أَرَضَّ 	 رضض
أَذَلَّ 	 ذلل
أَرَسَّ 	 رسس
أَمَضَّ 	 مضض
أَتَمَّ 	 تمم
أَجَنَّ 	 جنن
أَظَلَّ 	 ظلل
أَحَسَّ 	 حسس
أَدَرَّ 	 درر
أَسَرَّ 	 سرر
أَبَلَّ 	 بلل
أَرَكَّ 	 ركك
أَطَلَّ 	 طلل
أَمَرَّ 	 مرر
أَعَدَّ 	 عدد
أَصَحَّ 	 صحح
أَصَدَّ 	 صدد
أَشَدَّ 	 شدد
أَلَزَّ 	 لزز
أَجَمَّ 	 جمم
أَزَفَّ 	 زفف
أَجَلَّ 	 جلل
أَمَرَّ 	 مرر
أَهَمَّ 	 همم
أَشَلَّ 	 شلل
أَزَلَّ 	 زلل
أَقَضَّ 	 قضض
أَقَرَّ 	 قرر
أَمَسَّ 	 مسس
أَلَفَّ 	 لفف
أَسَنَّ 	 سنن
أَضَلَّ 	 ضلل
أَزَكَّ 	 زكك
أَخَلَّ 	 خلل
أَعَفَّ 	 عفف
أَلَجَّ 	 لجج
أَكَلَّ 	 أكل
أَمَدَّ 	 مدد
أَحَثَّ 	 حثث
أَفَجَّ 	 فجج
أَنَقَّ 	 نقق
أَبَرَّ 	 برر
أَكَمَّ 	 كمم
أَلَحَّ 	 لحح
أَغَنَّ 	 غنن
أَهَلَّ 	 هلل
أَشَعَّ 	 شعع
أَمَلَّ 	 ملل
أَمَنَّ 	 منن
أَهَرَّ 	 هرر
أَكَبَّ 	 كبب
أَنَضَّ 	 نضض
أَعَنَّ 	 عنن
أَلَبَّ 	 لبب
أَعَزَّ 	 عزز
أَكَنَّ 	 كنن
أَهَبَّ 	 هبب
أَفَلَّ 	 فلل
أَلَدَّ 	 لدد
أَغَمَّ 	 غمم
أَصَرَّ 	 صرر
أَحَقَّ 	 حقق
أَغَلَّ 	 غلل
أَخَفَّ 	 خفف
أَحَلَّ 	 حلل
أَحَبَّ 	 حبب
أَمَصَّ 	 مصص
أَزَمَّ 	 زمم
أَمَرَّ 	 مرر
أَلَمَّ 	 لمم
تَصَافَّ 	 صفف
تَشَاحَّ 	 شحح
تَسَابَّ 	 سبب
تَحَاتَّ 	 حتت
تَحَاجَّ 	 حجج
تَحَاكَّ 	 حكك
تَنَادَّ 	 ندد
تَوَادَّ 	 ودد
تَضَادَّ 	 ضدد
تَنَاصَّ 	 نصص
تَضَامَّ 	 ضمم
تَهَادَّ 	 هدد
تَرَاصَّ 	 رصص
تَشَادَّ 	 شدد
تَلَاذَّ 	 لذذ
تَعَاضَّ 	 عضض
اِنْقَاضَّ 	 قضض
تَحَابَّ 	 حبب
تَمَاسَّ 	 مسس
تَحَاثَّ 	 حثث
تَسَارَّ 	 سرر
أَسِنَ 	 أسن
أَكِلَ 	 أكل
أَلَهَ 	 أله
أَجِمَ 	 أجم
أَبَهَ 	 أبه
أَجَمَ 	 أجم
أَهِلَ 	 أهل
أَخَذَ 	 أخذ
أَدَبَ 	 أدب
أَمِنَ 	 أمن
أَلَفَ 	 ألف
أَلَبَ 	 ألب
أَرِقَ 	 أرق
أَذِنَ 	 أذن
أَثِمَ 	 أثم
أَجَمَ 	 أجم
أَسَرَ 	 أسر
أَفِقَ 	 أفق
أَزِفَ 	 أزف
أَمَرَ 	 أمر
أَفَكَ 	 أفك
أَنَضَ 	 أنض
أَزَرَ 	 أزر
أَفِكَ 	 أفك
أَطَرَ 	 أطر
أَلِهَ 	 أله
أَسِفَ 	 أسف
أَلَهَ 	 أله
أَلِقَ 	 ألق
أَفِلَ 	 أفل
أَنِفَ 	 أنف
أَجِنَ 	 أجن
أَلِفَ 	 ألف
أَوِبَ 	 أوب
أَرِجَ 	 أرج
أَنِقَ 	 أنق
أَيِسَ 	 أيس
أَلِمَ 	 ألم
أَوِدَ 	 أود
أَنَسَ 	 أنس
أَنِسَ 	 أنس
أَثَرَ 	 أثر
أَلَقَ 	 ألق
أَفَقَ 	 أفق
أَرِبَ 	 أرب
أَكَرَ 	 أكر
أَخَذَ 	 أخذ
أَمُنَ 	 أمن
أَجَرَ 	 أجر
أَثَرَ 	 أثر
أَلَبَ 	 ألب
أَمَلَ 	 أمل
أَنُثَ 	 أنث
أَنَفَ 	 أنف
أَزَرَ 	 أزر
أَكَلَ 	 أكل
أَصُلَ 	 أصل
أَجَرَ 	 أجر
أَفَلَ 	 أفل
أَجَنَ 	 أجن
أَهَلَ 	 أهل
أَمَرَ 	 أمر
أَكَلَ 	 أكل
أَنُضَ 	 أنض
أَنُسَ 	 أنس
أَدُبَ 	 أدب
أَطَرَ 	 أطر
أَخَذَ 	 أخذ
أَهَلَ 	 أهل
أَرَّقَ 	 أرق
أَلَّهَ 	 أله
أَحَّدَ 	 أحح
أَكَّدَ 	 أكد،وكد
أَجَّلَ 	 أجل
أَطَّرَ 	 أطر
أَرَّخَ 	 أرخ
أَرَّضَ 	 أرض
أَسَّسَ 	 أسس
أََثَّثَ 	 أثث
أَثَّفَ 	 أثف
أَخَّذَ 	 أخذ
أَفَّفَ 	 أفف
أَجَّرَ 	 أجر
أَثَّرَ 	 أثر
أَوَّلَ 	 أول
أَذَّنَ 	 أذن
أَكَّلَ 	 أكل
أَيَّسَ 	 أيس
أَلَّبَ 	 ألب
أَيَّدَ 	 أيد
أَهَّلَ 	 أهل
أَشَّرَ 	 أشر
أَمَّمَ 	 أمم
أَمَّلَ 	 أمل
أَلَّفَ 	 ألف
أَيَّمَ 	 أيم
أَوَّبَ 	 أوب
أَنَّقَ 	 أنق
أَمَّرَ 	 أمر
أَمَّنَ 	 أمن
أَنَّبَ 	 أنب
أَنَّثَ 	 أنث
أَلَّمَ 	 ألم
أَنَّسَ 	 أنس
أَصَّلَ 	 أصل
أَهَّبَ 	 أهب
تَأَوَّهَ 	 أوه
أَوَّدَ 	 أود
أَخَّرَ 	 أخر
أَدَّبَ 	 أدب
أَصَّدَ 	 أصد
أَجَّجَ 	 أجج
آجَرَ 	 أجر
آمَرَ 	 أمر
آثَمَ 	 أثم
آكَلَ 	 أكل
آخَذَ 	 أخذ
آدَبَ 	 أدب
آزَرَ 	 أزر
آنَسَ 	 أنس
آنَقَ 	 أنق
آكَلَ 	 أكل
عَثَرَ 	 عثر
آخَذَ 	 أخذ
آذَنَ 	 أذن
آرَقَ 	 أرق
آكَلَ 	 أكل
آكَدَ 	 أكد
آكَلَ 	 أكل
آجَرَ 	 أجر
آنَفَ 	 أنف
آثَرَ 	 أثر
آمَنَ 	 أمن
آنَضَ 	 أنض
آنَثَ 	 أنث
آلَفَ 	 ألف
آنَسَ 	 أنس
آزَفَ 	 أزف
آلَمَ 	 ألم
آلَفَ 	 ألف
تَأَلَّهَ 	 أله
تَأَسَّفَ 	 أسف
تَأَمَّلَ 	 أمل
تَأَيَّدَ 	 أيد
تَأَخَّرَ 	 أخر
تَأَزَّمَ 	 أزم
تَأَفَّفَ 	 أفف
تَأَلَّفَ 	 ألف
تَأَدَّبَ 	 أدب
تَأَبَّطَ 	 أبط
تَأَثَّرَ 	 أثر
تَأَلَّقَ 	 ألق
تَأَمَّرَ 	 أمر
تَأَجَّلَ 	 أجل
تَأَثَّثَ 	 أثث
تَأَكَّدَ 	 أكد
تَأَكَّلَ 	 أكل
تَأَنَّثَ 	 أنث
تَأَهَّبَ 	 أهب
تَأَجَّجَ 	 أجج
تَأَسَّسَ 	 أسس
تَأَنَّقَ 	 أنق
تَأَلَّمَ 	 ألم
تَأَلَّبَ 	 ألب
تَأَسَّدَ 	 أسد
تَأَبَّدَ 	 أبد
تَأَنَّسَ 	 أنس
تَأَهَّلَ 	 أهل
تَآكَلَ 	 أكل
تَآزَرَ 	 أزر
تَآمَرَ 	 أمر
تَآلَفَ 	 ألف
تَآنَسَ 	 أنس
اِسْتَأْذَنَ 	 أذن
اِسْتَأْنَسَ 	 أنس
اِسْتَأْصَلَ 	 أصل
اِسْتَأْسَدَ 	 أسد
اِسْتَأْجَرَ 	 أجر
اِسْتَأْنَفَ 	 أنف
اِسْتَأْلَفَ 	 ألف
اِسْتَأْهَلَ 	 أهل
اِسْتَأْثَرَ 	 أثر
اِئْتَكَلَ 	 أكل
اِئْتَثَرَ 	 أثر
اِئْتَزَرَ 	 أزر
اِئْتَلَقَ 	 ألق
اِئْتَمَنَ 	 أمن
اِئْتَلَفَ 	 ألف
اِئْتَمَرَ 	 أمر
سَأَلَ 	 سأل
يَئِسَ 	 يأس
دَأَبَ 	 دأب
لَأَمَ 	 لأم
جَأَشَ 	 جأش
رَأَبَ 	 رأب
جَأَرَ 	 جأر
رَئِسَ 	 رأس
ذَأَفَ 	 ذأف
رَأَسَ 	 رأس
ثَأَرَ 	 ثأر
ذَئِبَ 	 ذأب
ذَأَبَ 	 ذأب
رَئِفَ 	 رأف
ذَأَمَ 	 ذأم
دَأَبَ 	 دأب
كَئِبَ 	 كأب
زَأَرَ 	 زأر
زَئِرَ 	 زأر
دَأَمَ 	 دأم
ثَئِبَ 	 ثأب
سَئِمَ 	 سأم
دَأَلَ 	 دأل
تَأَرَ 	 تأر
شَأَمَ 	 شأم
رَأَسَ 	 رأس
رَأَفَ 	 رأف
زَأَمَ 	 زأم
بَئِسَ 	 بأس
لَؤُمَ 	 لأم
رَؤُفَ 	 رأف
ضَؤُلَ 	 ضأل
يَأَّسَ 	 يأس
رَأَّسَ 	 رأس
طَمْأَنَ 	 طمأن
شَاءَمَ 	 شأم
وَاءَمَ 	 وأم
ضَاءَلَ 	 ضأل
تَاءَمَ 	 تأم
لَاءَمَ 	 لأم
سَاءَلَ 	 سأل
أَلْأَمَ 	 لأم
أَذْأَبَ 	 ذأب
أَدْأَبَ 	 دأب
تَرَأَّفَ 	 رأف
تَرَأَّمَ 	 رأم
تَرَأَّسَ 	 رأس
تَسَاءَلَ 	 سأل
تَلَاءَمَ 	 لأم
تَفَاءَلَ 	 فأل
تَضَاءَلَ 	 ضأل
تَذَاءَبَ 	 ذأب
تَوَاءَمَ 	 وأم
تَثَاءَبَ 	 ثأب
تَشَاءَمَ 	 شأم
اِرْتَأَسَ 	 رأس
اِسْتَرْأَفَ 	 رأف
اِسْتَيْأَسَ 	 يأس
اِكْتَأَبَ 	 كأب
اِبْتَأَسَ 	 بأس
اِلْتَأَمَ 	 لأم
نَجَأَ 	 نجأ
نَبَأَ 	 نبأ
كَمَأَ 	 كمأ
هَنَأَ 	 هنأ
نَزَأَ 	 نزأ
فَجَأَ 	 فجأ
حَطَأَ 	 حطأ
رَشَأَ 	 رشأ
صَبَأَ 	 صبأ
صَدَأَ 	 صدأ
طَرَأَ 	 طرأ
هَرَأَ 	 هرأ
كَفَأَ 	 كفأ
جَزَأَ 	 جزأ
هَرَأَ 	 هرأ
فَقَأَ 	 فقأ
هَجَأَ 	 هجأ
رَفَأَ 	 رفأ
كَلَأَ 	 كلأ
خَبَأَ 	 خبأ
دَرَأَ 	 درأ
دَنَأَ 	 دنأ
قَرَأَ 	 قرأ
كَلَأَ 	 كلأ
ذَرَأَ 	 ذرأ
نَسَأَ 	 نسأ
بَذَأَ 	 بذأ
نَكَأَ 	 نكأ
هَمَأَ 	 همأ
نَشَأَ 	 نشأ
لَطَأَ 	 لطأ
مَرَأَ 	 مرأ
شَنَأَ 	 شنأ
نَتَأَ 	 نتأ
هَزَأَ 	 هزأ
هَنَأَ 	 هنأ
نَزَأَ 	 نزأ
جَشَأَ 	 جشأ
مَلَأَ 	 ملأ
بَدَأَ 	 بدأ
بَرَأَ 	 برأ
لَمَأَ 	 لمأ
عَبَأَ 	 عبأ
لَكَأَ 	 لكأ
هَدَأَ 	 هدأ
رَبَأَ 	 ربأ
هَزَأَ 	 هزأ
رَزَأَ 	 رزأ
لَجَأَ 	 لجأ
خَسَأَ 	 خسأ
كَمِئَ 	 كمأ
بَرِئَ 	 برأ
ظَمِئَ 	 ظمأ
بَذِئَ 	 بذأ
لَكِئَ 	 لكأ
طَفِئَ 	 طفأ
بَرِئَ 	 برأ
دَفِئَ 	 دفأ
صَدِئَ 	 صدأ
هَوِئَ 	 هوأ
خَطِئَ 	 خطأ
هَجِئَ 	 هجأ
هَنِئَ 	 هنأ
هَدِئَ 	 هدأ
لَطِئَ 	 لطأ
كَلِئَ 	 كلأ
مَرِئَ 	 مرأ
هَرِئَ 	 هرأ
هَزِئَ 	 هزأ
هَيِئَ 	 هيأ
تَكِئَ 	 وكأ
بَرَّأَ 	 برأ
رَفَّأَ 	 رفأ
وَطَّأَ 	 وطأ
جَزَّأَ 	 جزأ
بَوَّأَ 	 بوأ
ظَمَّأَ 	 ظمأ
خَبَّأَ 	 خبأ
فَيَّأَ 	 فيأ
هَرَّأَ 	 هرأ
عَبَّأَ 	 عبأ
نَبَّأَ 	 نبأ
وَضَّأَ 	 وضأ
ضَوَّأَ 	 ضوأ
نَشَّأَ 	 نشأ
قَيَّأَ 	 قيأ
شَيَّأَ 	 شيأ
هَيَّأَ 	 هيأ
بَطَّأَ 	 بطأ
هَنَّأَ 	 هنأ
كَلَّأَ 	 كلأ
مَرَّأَ 	 مرأ
لَجَّأَ 	 لجأ
جَشَّأَ 	 جشأ
خَطَّأَ 	 خطأ
جَرَّأَ 	 جرأ
دَفَّأَ 	 دفأ
هَدَّأَ 	 هدأ
وَمَّأَ 	 ومأ
دَارَأَ 	 درأ
فَاجَأَ 	 فجأ
كَافَأَ 	 كفأ
بَادَأَ 	 بدأ
قَارَأَ 	 قرأ
مَالَأَ 	 ملأ
وَاكَأَ 	 وكأ
بَاطَأَ 	 بطأ
وَاضَأَ 	 وضأ
وَاطَأَ 	 وطأ
أَدْفَأَ 	 دفأ
أَطْفَأَ 	 طفأ
أَخْطَأَ 	 خطأ
أَهْدَأَ 	 هدأ
أَبْرَأَ 	 برأ
أَبْطَأَ 	 بطأ
أَدْنَأَ 	 دنأ
أَوْطَأَ 	 وطأ
أَظْمَأَ 	 ظمأ
أَقْرَأَ 	 قرأ
أَصْدَأَ 	 صدأ
أَهْرَأَ 	 هرأ
أَهْمَأَ 	 همأ
أَكْمَأَ 	 كمأ
أَنْوَأَ 	 نوأ
أَنْبَأَ 	 نبأ
أَنْشَأَ 	 نشأ
أَرْدَأَ 	 ردأ
أَبْذَأَ 	 بذأ
أَوْمَأَ 	 ومأ
أَكْفَأَ 	 كفأ
أَتْكَأَ 	 وكأ
أَوْبَأَ 	 وبأ
أَكْلَأَ 	 كلأ
أَلْجَأَ 	 لجأ
أَرْجَأَ 	 رجأ
تَهَنَّأَ 	 هنأ
تَضَوَّأَ 	 ضوأ
تَفَيَّأَ 	 فيأ
تَوَكَّأَ 	 وكأ
تَجَشَّأَ 	 جشأ
تَوَطَّأَ 	 وطأ
تَفَقَّأَ 	 فقأ
تَوَضَّأ 	 وضأ
تَبَطَّأَ 	 بطأ
تَمَلَّأَ 	 ملأ
تَدَنَّأَ 	 دنأ
تَلَكَّأَ 	 لكأ
تَخَطَّأَ 	 خطأ
تَخَبَّأَ 	 خبأ
تَدَفَّأَ 	 دفأ
تَقَيَّأَ 	 قيأ
تَهَرَّأَ 	 هرأ
تَمَرَّأَ 	 مرأ
تَبَرَّأَ 	 برأ
تَنَشَّأَ 	 نشأ
تَنَبَّأَ 	 نبأ
تَكَمَّأَ 	 كمأ
تَبَوَّأَ 	 بوأ
تَجَرَّأَ 	 جرأ
تَهَيَّأَ 	 هيأ
تَهَزَّأَ 	 هزأ
تَجَزَّأَ 	 جزأ
تَبَاطَأَ 	 بطأ
تَكَافَأَ 	 كفأ
تَوَاطَأَ 	 وطأ
تَخَاطَأَ 	 خطأ
اِدَّارَأَ 	 درأ
اِنْطَفَأَ 	 طفأ
اِخْتَبَأَ 	 خبأ
اِجْتَشَأَ 	 جشأ
اِتَّكَأَ 	 وكأ
اسْتَبْطَأَ 	 بطأ
اِجْتَرَأَ 	 جرأ
اِسْتَمْرَأَ 	 مرأ
اِسْتَقْرَأَ 	 قرأ
اِسْتَدْفَأَ 	 دفأ
اِنْفَقَأَ 	 فقأ
اِسْتَهْزَأَ 	 هزأ
اِبْتَدَأَ 	 بدأ
اِمْتَلَأَ 	 ملأ
اِلْتَجَأَ 	 لجأ
اِنْكَفَأَ 	 كفأ
وَحَلَ 	 وحل
وَصَمَ 	 وصم
وَلَقَ 	 ولق
وَصَدَ 	 وصد
وَحَنَ 	 وحن
وَهَفَ 	 وهف
وَجَفَ 	 وجف
وَدَجَ 	 ودج
وَثَبَ 	 وثب
وَشَقَ 	 وشق
وَضَعَ 	 وضع
وَقَفَ 	 وقف
وَجَهَ 	 وجه
وَدَفَ 	 ودف
وَزَفَ 	 وزف
وَجَرَ 	 وجر
وَغَلَ 	 وغل
وَجَمَ 	 وجم
وَجَبَ 	 وجب
وَسَطَ 	 وسط
وَرَعَ 	 ورع
وَسِنَ 	 وسن
وَحَدَ 	 وحد
وَصَلَ 	 وصل
وَسَعَ 	 وسع
وَثَنَ 	 وثن
وَهَجَ 	 وهج
وَجَبَ 	 وجب
وَسِخَ 	 وسخ
وَلَهَ 	 وله
وَسَقَ 	 وسق
وَزَرَ 	 وزر
وَرَطَ 	 ورط
وَرَفَ 	 ورف
وَدَقَ 	 ودق
وَخَمَ 	 وخم
وَسَطَ 	 وسط
وَصَبَ 	 وصب
وَعَرَ 	 وعر
وَدَنَ 	 ودن
وَسَمَ 	 وسم
وَزَعَ 	 وزع
وَرَكَ 	 ورك
وَرَعَ 	 ورع
وَكَرَ 	 وكر
وَشَمَ 	 وشم
وَكَنَ 	 وكن
وَكَدَ 	 وكد
وَسِعَ 	 وسع
وَصَلَ 	 وصل
وَخَطَ 	 وخط
وَهَنَ 	 وهن
وَجَسَ 	 وجس
وَتَنَ 	 وتن
وَقَرَ 	 وقر
وَزَنَ 	 وزن
وَسَقَ 	 وسق
وَثَفَ 	 وثف
وَهَلَ 	 وهل
وَثَرَ 	 وثر
وَهِلَ 	 وهل
وَرَقَ 	 ورق
وَجَدَ 	 وجد
وَغَرَ 	 وغر
وَزَغَ 	 وزغ
وَسَطَ 	 وسط
وَقَرَ 	 وقر
وَظَبَ 	 وظب
وَعَقَ 	 وعق
وَكَدَ 	 وكد
وَثَلَ 	 وثل
وَلَعَ 	 ولع
وَقَبَ 	 وقب
وَذَرَ 	 وذر
وَضَعَ 	 وضع
وَجَزَ 	 وجز
وَطَنَ 	 وطن
وَبَرَ 	 وبر
وَدَهَ 	 وده
وَشَرَ 	 وشر
وَلَغَ 	 ولغ
وَخَفَ 	 وخف
وَجَدَ 	 وجد
وَلَعَ 	 ولع
وَقَفَ 	 وقف
وَتَدَ 	 وتد
وَمَقَ 	 ومق
وَكَبَ 	 وكب
وَدَعَ 	 ودع
وَرَكَ 	 ورك
وَفَرَ 	 وفر
وَغَدَ 	 وغ د
وَلَبَ 	 ولب
وَبِقَ 	 وبق
وَعَدَ 	 وعد
وَلَفَ 	 ولف
وَقَحَ 	 وقح
وَرَدَ 	 ورد
وَعَزَ 	 وعز
وَضَعَ 	 وضع
وَقَدَ 	 وقد
وَعَدَ 	 وعد
وَرَشَ 	 ورش
وَخَزَ 	 وخز
وَهَبَ 	 وهب
وَرَسَ 	 ورس
وَظَبَ 	 وظب
وَلَدَ 	 ولد
وَضَحَ 	 وضح
وَعَبَ 	 وعب
وَهَمَ 	 وهم
وَهَفَ 	 وهف
وَقَعَ 	 وقع
وَقَتَ 	 وقت
وَفَدَ 	 وفد
وَطَدَ 	 وطد
وَبَلَ 	 وبل
وَشَجَ 	 وشج
وَقَعَ 	 وقع
وَكَلَ 	 وكل
وَكَفَ 	 وكف
وَفَضَ 	 وفض
وَقَرَ 	 وقر
وَظَفَ 	 وظف
وَسَلَ 	 وسل
وَحَشَ 	 وحش
وَعَكَ 	 وعك
وَدَنَ 	 ودن
وَقَعَ 	 وقع
وَصَفَ 	 وصف
وَكَرَ 	 وكر
وَبَقَ 	 وبق
وَتَنَ 	 وتن
وَجَدَ 	 وجد
وَزَرَ 	 وزر
وَجَدَ 	 وجد
وَمَضَ 	 ومض
وَجَبَ 	 وجب
وَلَجَ 	 ولج
وَجَنَ 	 وجن
وَحَفَ 	 وحف
وَثِقَ 	 وثق
وَتَرَ 	 وتر
وَعَظَ 	 وعظ
وَزَفَ 	 وزف
وَدِنَ 	 ودن
وَذِمَ 	 وذم
وَبِهَ 	 وبه
وَدِقَ 	 ودق
وَذِرَ 	 وذر
وَقِرَ 	 وقر
وَعِقَ 	 وعق
وَحِشَ 	 وحش
وَحِمَ 	 وحم
تَخِمَ 	 وخم
وَرِهَ 	 وره
وَرِبَ 	 ورب
وَبِدَ 	 وبد
وَبِرَ 	 وبر
وَقِحَ 	 وقح
وَجِعَ 	 وجع
وَبِقَ 	 وبق
وَدِكَ 	 ودك
وَرِسَ 	 ورس
وَحِرَ 	 وحر
وَمِدَ 	 ومد
وَهِمَ 	 وهم
وَحِنَ 	 وحن
وَفِقَ 	 وفق
وَرِثَ 	 ورث
وَجِلَ 	 وجل
وَرِعَ 	 ورع
وَحِفَ 	 وحف
وَلِعَ 	 ولع
وَعِثَ 	 وعث
وَرِشَ 	 ورش
وَجِرَ 	 وجر
وَحِلَ 	 وحل
وَلِهَ 	 وله
وَكِفَ 	 وكف
وَشِقَ 	 وشق
وَغِرَ 	 وغر
وَصِبَ 	 وصب
وَعِرَ 	 وعر
وَرِهَ 	 وره
وَضِحَ 	 وضح
وَقِعَ 	 وقع
وَرِكَ 	 ورك
وَخِمَ 	 وخم
وَبِشَ 	 وبش
وَكِبَ 	 وكب
وَضِعَ 	 وضع
وَرِمَ 	 ورم
اِيراقَّ 	 ورق
يَمُنَ 	 يمن
يَقُظَ 	 يقظ
يَتُمَ 	 يتم
يَسُرَ 	 يسر
أَيْتَمَ 	 يتم
أَيْسَرَ 	 يسر
أَيْفَعَ 	 يفع
أَيْنَعَ 	 ينع
أَيْقَظَ 	 يقظ
أَيْبَسَ 	 يبس
أَيْقَنَ 	 يقن
أَيْمَنَ 	 يمن
بَاخَ 	 بوخ
شَاطَ 	 شوط
حَاجَ 	 حوج
دَاكَ 	 ديك
حَاقَ 	 حوق
حَاطَ 	 حوط
حَاضَ 	 حوض
نَالَ 	 نول
حَادَ 	 حود
حَاشَ 	 حوش
حَامَ 	 حوم
ثَابَ 	 ثوب
جَابَ 	 جوب
حَالَ 	 حيل
تَاقَ 	 توق
جَاشَ 	 جوش
جَادَ 	 جود
خَالَ 	 خول
ذَابَ 	 ذوب
رَاحَ 	 روح
خَالَ 	 خول
عَاصَ 	 عوص
دَارَ 	 دور
دَاسَ 	 دوس
خَارَ 	 خور
قَاتَ 	 قوت
دَاحَ 	 دوح
نَارَ 	 نور
طَاعَ 	 طوع
دَامَ 	 دوم
صَاعَ 	 صوع
لَاثَ 	 لوث
قَالَ 	 قول
رَاقَ 	 روق
سَارَ 	 سور
زَاحَ 	 زوح
رَادَ 	 رود
جَازَ 	 جوز
حَافَ 	 حوف
بَارَ 	 بور
مَاقَ 	 موق
رَاضَ 	 روض
زَادَ 	 زود
زَارَ 	 زور
دَالَ 	 دول
رَازَ 	 روز
زَالَ 	 زول
سَاخَ 	 سوخ
سَاسَ 	 سوس
كَارَ 	 كور
صَافَ 	 صوف
فَاتَ 	 فوت
رَاقَ 	 روق
رَادَ 	 رود
عَافَ 	 عوف
سَاعَ 	 سوع
شَاهَ 	 شوه
فَاحَ 	 فوح
عَاجَ 	 عوج
فَاقَ 	 فوق
سَاطَ 	 سوط
نَابَ 	 نوب
رَانَ 	 رون
هَانَ 	 هون
طَاسَ 	 طوس
حَاتَ 	 حوت
حَازَ 	 حوز
دَانَ 	 دون
خَانَ 	 خون
جَاسَ 	 جوس
فَاقَ 	 فوق
قَافَ 	 قوف
عَادَ 	 عود
مَالَ 	 مول
صَامَ 	 صوم
شَاصَ 	 شوص
لَاعَ 	 لوع
رَاشَ 	 روش
صَالَ 	 صول
شَالَ 	 شول
صَارَ 	 صور
زَاغَ 	 زوغ
جَاعَ 	 جوع
زَاغَ 	 زوغ
شَاظَ 	 شوظ
حَارَ 	 حور
طَاقَ 	 طوق
ضَاعَ 	 ضوع
