يُمْكِنُ 	 مكن
ضَرِعَ 	 ضرع
نَجَحَ 	 نجح
صَقِعَ 	 صقع
صَلَبَ 	 صلب
شَرِطَ 	 شرط
شَرَعَ 	 شرع
دَعِثَ 	 دعث
لَفَحَ 	 لفح
شَرِقَ 	 شرق
شَرِكَ 	 شرك
حَنِقَ 	 حنق
شَرِهَ 	 شره
طَرَحَ 	 طرح
نَصَفَ 	 نصف
شَعِثَ 	 شعث
جَيِدَ 	 جيد
دَمِلَ 	 دمل
تَلَعَ 	 تلع
شَجِنَ 	 شجن
شَغَفَ 	 شغف
عَجَفَ 	 عجف
شَحَطَ 	 شحط
تَلِعَ 	 تلع
رَدَمَ 	 ردم
بَهَتَ 	 بهت
زَرِبَ 	 زرب
رَتِلَ 	 رتل
عَضِلَ 	 عضل
شَعَلَ 	 شعل
شَمَعَ 	 شمع
جَهَمَ 	 جهم
دَغَشَ 	 دغش
طَبِقَ 	 طبق
عَبِثَ 	 عبث
مَسَخَ 	 مسخ
طَحِلَ 	 طحلب
طَحَنَ 	 طحن
طَمَثَ 	 طمن
طَمِعَ 	 طمع
خَضَبَ 	 خضب
طَنِبَ 	 طنب
نَبَزَ 	 نبز
رَمِضَ 	 رمض
قَسَمَ 	 قسم
طَرَسَ 	 طرس
لَفِتَ 	 لفت
نَغَزَ 	 نغز
سَرِبَ 	 سرب
طَرَفَ 	 طرف
خَبَطَ 	 خبط
طَرِدَ 	 طرد
طَمَسَ 	 طمس
صَدَمَ 	 صدم
طَبِعَ 	 طبع
ضَمِدَ 	 ضمد
يَسِرَ 	 يسر
طَفَحَ 	 طفح
سَرِجَ 	 سرج
سَرَحَ 	 سرح
زَعِجَ 	 زعج
قَصِرَ 	 قصر
زَلِجَ 	 زلج
فَعَمَ 	 فعم
سَحَتَ 	 سحت
سَكِرَ 	 سكر
زَيِلَ 	 زيل
زَوِرَ 	 زور
قَلِصَ 	 قلص
رَبِحَ 	 ربح
رَهَنَ 	 رهن
صَخِرَ 	 صخر
غَلِفَ 	 غلف
نَفِطَ 	 نفط
حَجَزَ 	 حجز
بَرِشَ 	 برش
زَقَفَ 	 زقف
سَحِقَ 	 سحق
دَلَهَ 	 دله
خَفَرَ 	 خفر
جَبَهَ 	 جبه
خَزِنَ 	 خزن
خَصِمَ 	 خصم
فَلِجَ 	 فلج
زَلَعَ 	 زلع
سَرِعَ 	 سرع
عَطَسَ 	 عطس
زَهِدَ 	 زهد
سَلِمَ 	 سلم
صَفَدَ 	 صفد
سَهِدَ 	 سهد
رَهِقَ 	 رهق
سَمِنَ 	 سمن
رَوِقَ 	 روق
فَرَضَ 	 فرض
حَذَقَ 	 حذق
يَتَمَ 	 يتم
عَذَقَ 	 عذق
مَدَحَ 	 مدح
نَطَفَ 	 نطف
نَمِلَ 	 نمل
نَحِلَ 	 نحل
سَلِسَ 	 سلس
هَدَبَ 	 هدب
ذَبِرَ 	 ذبر
سَكِفَ 	 سكف
عَطَفَ 	 عطف
زَهَقَ 	 زهق
سَنَحَ 	 سنح
زَبَنَ 	 زبن
قَرِعَ 	 قرع
جَنَحَ 	 جنح
نَهِلَ 	 نهل
عَبِرَ 	 عبر
قَرَحَ 	 قرح
ضَرَعَ 	 ضرع
سَبِطَ 	 سبط
سَعِدَ 	 سعد
عَزَلَ 	 عزل
زَرِقَ 	 زرق
حَصَبَ 	 حصب
شَحِمَ 	 شحم
سَفَدَ 	 سفد
زَرِفَ 	 زرف
عَدِمَ 	 عدم
خَزَفَ 	 خزف
عَرِقَ 	 عرق
ضَرَطَ 	 ضرط
فَتِقَ 	 فتق
قَصَدَ 	 قصد
ضَرَبَ 	 ضرب
مَلَكَ 	 ملك
ضَرِسَ 	 ضرس
سَجِدَ 	 سجد
زَلَقَ 	 زلق
زَرَعَ 	 زرع
هَبَطَ 	 هبط
ضَرَسَ 	 ضرس
قَرِبَ 	 قرب
شَوِسَ 	 شوس
عَثَرَ 	 عثر
سَخِنَ 	 سخن
زَعِلَ 	 زعل
سَخَرَ 	 سخر
سَدِرَ 	 سدر
زَغِبَ 	 زغب
سَحَرَ 	 سحر
نَغِلَ 	 نغل
خَتَنَ 	 ختن
فَخَذَ 	 فخذ
صَدِفَ 	 صدف
جَهِمَ 	 جهم
بَرِعَ 	 برع
سَطَعَ 	 سطع
زَمَرَ 	 زمر
عَجِنَ 	 عجن
نَطَحَ 	 نطح
كَلَحَ 	 كلح
لَدَغَ 	 لدغ
زَبَلَ 	 زبل
جَلَدَ 	 جلد
سَفَنَ 	 سفن
سَفَحَ 	 سفح
سَعَفَ 	 سعف
دَعِرَ 	 دعر
زَمِجَ 	 زمج
زَخَرَ 	 زخر
صَرَعَ 	 صرع
فَرَجَ 	 فرج
فَدَغَ 	 فدغ
غَلَفَ 	 غلف
فَرِجَ 	 فرج
صَبَرَ 	 صبر
فَدِعَ 	 فدع
لَعَجَ 	 لعج
غَمَزَ 	 غمز
فَصَحَ 	 فصح
جَلَسَ 	 جلس
هَضَبَ 	 هضب
رَشِحَ 	 رشح
عَتِهَ 	 عته
مَغَطَ 	 مغط
فَتَنَ 	 فتن
ظَلَعَ 	 ظلع
قَدَرَ 	 قدر
قَحَطَ 	 قحط
رَحِبَ 	 رحب
عَمِلَ 	 عمل
فَحَصَ 	 فحص
دَرَعَ 	 درع
دَهَرَ 	 دهر
قَلَعَ 	 قلع
لَقِفَ 	 لقف
كَرِعَ 	 كرع
قَمَصَ 	 قمص
عَوِزَ 	 عوز
صَهَرَ 	 صهر
فَطَحَ 	 فطح
فَطَرَ 	 فطر
شَرِبَ 	 شرب
ضَجَعَ 	 ضجع
غَفَقَ 	 غفق
فَصَلَ 	 فصل
فَرِحَ 	 فرح
فَرَسَ 	 فرس
غَمِقَ 	 غمق
عَبَثَ 	 عبث
قَمَطَ 	 قمط
لَثَمَ 	 لثم
زَمِرَ 	 زمر
سَرِحَ 	 سرح
فَتِلَ 	 فتل
لَثِغَ 	 لثغ
فَزِعَ 	 فزع
فَسَحَ 	 فسح
فَسَخَ 	 فسخ
شَرِمَ 	 شرم
فَشِلَ 	 فشل
رَنِقَ 	 رنق
فَطَنَ 	 فطن
فَظِعَ 	 فظع
فَغَرَ 	 فغر
دَخِنَ 	 دخن
عَقَدَ 	 عقد
شَفَعَ 	 شفع
زَرِدَ 	 زرد
فَقَدَ 	 فقد
خَشَبَ 	 خشب
حَصِرَ 	 حصر
فَقَعَ 	 فقع
فَقِهَ 	 فقه
لَصِقَ 	 لصق
قَلَصَ 	 قلص
قَطَفَ 	 قطف
دَحَسَ 	 دحس
فَلَحَ 	 فلح
رَغِمَ 	 رغم
فَكِهَ 	 فكه
غَلِقَ 	 غلق
فَوِقَ 	 فوق
شَفَعَ 	 شفع
قَفَشَ 	 قفش
رَبِدَ 	 ربد
فَنِدَ 	 فند
رَطِبَ 	 رطب
جَرِبَ 	 جرب
عَصَبَ 	 عصب
مَعَدَ 	 معد
قَرِدَ 	 قرد
عَلِمَ 	 علم
قَبِلَ 	 قبل
قَتَمَ 	 قتم
قَدَحَ 	 قدح
قَتِرَ 	 قتر
قَبَضَ 	 قبض
بَطِرَ 	 بطر
تَسَعَ 	 تسع
قَذَعَ 	 قذع
فَرَسَ 	 فرس
قَدِرَ 	 قدر
فَقَسَ 	 فقس
هَرَدَ 	 هرد
عَسَلَ 	 عسل
قَمِعَ 	 قمع
